,Final_Grade_f,Total_Points_f,Major,Year,Extra_f ,Exam_1_f,Exam_2_f,Exam_2_AVE_f,Exam_2_Retake_f,Exam_3_f,Exam_Total_f,Final_Exam_f,Final_Exam_Scaled_f,Grade_s,Total_Points_s,Extra_Credit_1_s,Exam_1_s,Exam_2_s,Extra_Credit_2_s,Exam_3_s,Exam_3_Scaled_s,Final_Exam_s,Final_Scaled_s,Avg_of_3_Exams_s,Exam_total_s
0,C,764.0,Engineering,First Year,5.0,146.0,133.0,163.0,193.0,54.0,430.0,9.0,129.0,,,,,,,,,,,,
1,,,,,,,,,,,,,,F,351.0,,50.0,136.0,10.0,45.0,100.0,,,95.0,331.0
2,,,,,,,,,,,,,,D,567.0,0.5,121.0,122.0,20.0,68.0,132.86,85.0,156.0,125.0,380.0
3,C,738.0,Biology,Junior,5.0,103.0,103.0,144.0,185.0,124.0,392.0,10.0,141.0,C+,772.0,0.5,94.0,200.0,,107.0,188.57,130.0,213.0,161.0,549.0
4,F,546.0,Electrical Engineering,Junior,,75.0,71.0,82.0,93.0,56.0,228.0,8.0,118.0,F,421.0,1.0,57.0,106.0,10.0,35.0,85.71,60.0,125.0,83.0,275.0
5,A-,888.0,Computer Science,Junior,20.0,101.0,128.0,164.0,200.0,188.0,503.0,12.0,165.0,,,,,,,,,,,,
6,,,,,,,,,,,,,,A+,1112.0,,223.0,250.0,20.0,178.0,290.0,190.0,288.0,254.0,794.0
7,,,Engineering,First Year,,88.0,25.0,25.0,,,,,,,,,,,,,,,,,
8,A-,922.0,,,10.0,155.0,189.0,194.5,200.0,186.0,559.0,11.0,153.0,,,,,,,,,,,,
9,,,,,,,,,,,,,,C-,647.0,0.0,97.0,136.0,20.0,95.0,171.43,100.0,175.0,135.0,442.0
10,F,,Undeclared,Sophomore,,136.0,63.0,63.0,,94.0,,,,,,,,,,,,,,,
11,F,492.0,Undeclared,Sophomore,,139.0,75.0,75.0,64.0,20.0,292.0,,,,,,,,,,,,,,
12,D-,620.0,,,10.0,99.0,97.0,115.5,134.0,90.0,316.0,6.0,94.0,D,552.0,,120.0,164.0,,30.0,78.57,70.0,138.0,121.0,405.0
13,D-,607.0,Undeclared,First Year,10.0,112.0,61.0,127.0,193.0,60.0,339.0,3.0,59.0,C-,676.0,0.0,127.0,146.0,,115.0,200.0,90.0,163.0,158.0,504.0
14,D+,685.0,Mechanical Engineering,Senior,10.0,101.0,73.0,136.5,200.0,124.0,381.0,6.0,94.0,D,619.0,1.5,75.0,136.0,25.0,74.0,141.43,110.0,188.0,117.0,395.0
15,A,966.0,NonDeg,First Year,13.0,193.0,138.0,169.0,200.0,188.0,564.0,14.0,188.0,,,,,,,,,,,,
16,D,616.0,Mechanical Engineering,Junior,5.0,75.0,80.0,121.5,163.0,124.0,352.0,3.0,59.0,F,232.0,0.0,79.0,62.0,10.0,20.0,64.29,,,68.0,212.0
17,B+,871.0,,,20.0,166.0,179.0,179.0,179.0,44.0,475.0,13.0,176.0,B-,807.0,2.5,151.0,186.0,20.0,120.0,207.14,120.0,200.0,181.0,575.0
18,B,858.0,Mechanical Engineering,First Year,15.0,171.0,112.0,129.5,147.0,128.0,443.0,15.0,200.0,B-,797.0,1.5,170.0,136.0,10.0,128.0,218.57,130.0,213.0,175.0,563.0
19,A,961.0,Computer Science,Sophomore,15.0,179.0,192.0,192.5,193.0,190.0,570.0,13.0,176.0,B,823.0,1.0,185.0,192.0,25.0,136.0,230.0,90.0,163.0,202.0,624.0
20,,,,,,,,,,,,,,C+,762.0,1.0,180.0,170.0,25.0,115.0,200.0,90.0,163.0,183.0,563.0
21,,,Non-Degree STC,First Year,,138.0,45.0,45.0,,,,,,,,,,,,,,,,,
22,A-,919.0,Biochemistry,Sophomore,15.0,190.0,162.0,181.0,200.0,170.0,551.0,11.0,153.0,A,939.0,2.0,143.0,200.0,20.0,155.0,257.14,160.0,250.0,200.0,657.0
23,,,Undeclared,First Year,,84.0,,0.0,,,,,,,,,,,,,,,,,
24,,,Biochemistry,Sophomore,,,,0.0,,,,,,,,,,,,,,,,,
25,B,839.0,Engineering,Sophomore,15.0,154.0,95.0,147.5,200.0,136.0,447.0,13.0,176.0,A,932.0,1.0,205.0,240.0,25.0,130.0,221.43,130.0,213.0,222.0,684.0
26,B-,824.0,Physics,First Year,10.0,191.0,155.0,155.0,155.0,70.0,485.0,9.0,129.0,,,,,,,,,,,,
27,C,751.0,Mechanical Engineering,First Year,5.0,163.0,65.0,116.0,167.0,98.0,405.0,10.0,141.0,C-,604.0,0.0,125.0,126.0,,85.0,157.14,100.0,175.0,136.0,419.0
28,C+,790.0,Biochemistry/Biology,Sophomore,10.0,166.0,84.0,142.0,200.0,154.0,474.0,7.0,106.0,C-,648.0,2.5,166.0,138.0,25.0,65.0,128.57,90.0,163.0,144.0,448.0
29,A,956.0,Mechanical Engineering,Junior,20.0,190.0,173.0,182.0,191.0,184.0,559.0,13.0,176.0,,,,,,,,,,,,
30,,,,,,,,,,,,,,B,829.0,2.0,198.0,202.0,10.0,131.0,222.86,100.0,175.0,208.0,632.0
31,B-,800.0,Mechanical Engineering,Sophomore,15.0,124.0,148.0,160.0,172.0,90.0,409.0,13.0,176.0,C-,592.0,0.5,95.0,128.0,,79.0,148.57,105.0,181.0,124.0,400.0
32,,,Undeclared,Senior,5.0,127.0,115.0,115.0,,,,,,,,,,,,,,,,,
33,A-,924.0,Engineering,Sophomore,20.0,186.0,148.0,166.0,184.0,140.0,516.0,14.0,188.0,B-,817.0,2.0,96.0,170.0,20.0,166.0,272.86,90.0,163.0,180.0,622.0
34,A-,901.0,Mechanical Engineering,Sophomore,15.0,169.0,133.0,133.0,117.0,180.0,510.0,13.0,176.0,,,1.5,100.0,,,,,,,100.0,100.0
35,F,512.0,Geosciences ,Junior,10.0,93.0,40.0,45.5,51.0,60.0,219.0,5.0,82.0,,,,,,,,,,,,
36,C,716.0,Non Degree,Senior,15.0,154.0,56.0,106.5,157.0,116.0,396.0,7.0,106.0,,,,,,,,,,,,
37,,,Biochemistry,Junior,,124.0,25.0,25.0,,,,,,,,,,,,,,,,,
38,B-,807.0,Computer Science,Senior,15.0,154.0,125.0,142.5,160.0,130.0,439.0,11.0,153.0,,,,,,,,,,,,
39,,,,,,,,,,,,,,C-,651.0,0.5,101.0,102.0,20.0,120.0,207.14,100.0,175.0,137.0,446.0
40,A,1055.0,Computer Science,Junior,20.0,199.0,209.0,209.0,209.0,200.0,612.0,17.0,224.0,,,,,,,,,,,,
41,C+,769.0,Computer Science,Sophomore,15.0,161.0,105.0,152.5,200.0,54.0,436.0,8.0,118.0,,,,115.0,,,,,,,115.0,115.0
42,,,,,,,,,,,,,,C-,678.0,,147.0,140.0,,113.0,197.14,90.0,163.0,161.0,506.0
43,A,971.0,Computer Science,Junior,10.0,191.0,169.0,184.5,200.0,180.0,561.0,15.0,200.0,A-,895.0,0.0,216.0,198.0,25.0,110.0,192.86,155.0,244.0,202.0,616.0
44,D+,681.0,NonDeg,First Year,5.0,170.0,114.0,114.0,114.0,46.0,394.0,5.0,82.0,,,,,,,,,,,,
45,,,,,,,,,,,,,,A+,1057.0,3.0,233.0,242.0,25.0,162.0,267.14,170.0,263.0,247.0,757.0
46,B,847.0,Engineering,First Year,15.0,152.0,155.0,177.5,200.0,170.0,514.0,8.0,118.0,C-,656.0,1.0,150.0,118.0,25.0,60.0,121.43,135.0,219.0,130.0,401.0
47,D+,685.0,Undeclared,First Year,,144.0,105.0,105.0,105.0,0.0,332.0,11.0,153.0,,,,,,,,,,,,
48,A,939.0,Biology,Junior,10.0,195.0,120.0,160.0,200.0,188.0,564.0,12.0,165.0,B,834.0,2.5,198.0,244.0,20.0,54.0,112.86,100.0,175.0,185.0,627.0
49,,,,,,,,,,,,,,B+,871.0,2.5,173.0,154.0,25.0,166.0,272.86,110.0,188.0,200.0,646.0
50,C-,680.0,Engineering,Sophomore,5.0,128.0,75.0,107.5,140.0,96.0,346.0,9.0,129.0,,,,,,,,,,,,
51,,,Engineering,Junior,,50.0,,0.0,,,,,,,,,,,,,,,,,
52,C,744.0,Engineering,Junior,5.0,93.0,75.0,134.0,193.0,132.0,386.0,11.0,153.0,F,426.0,,88.0,94.0,,40.0,92.86,70.0,138.0,92.0,278.0
53,A,955.0,Undeclared,Sophomore,15.0,195.0,170.0,170.0,170.0,160.0,540.0,15.0,200.0,A,958.0,3.0,157.0,222.0,25.0,157.0,260.0,140.0,225.0,213.0,695.0
54,,,Undeclared,First Year,,102.0,,0.0,,,,,,,,,,,,,,,,,
55,B-,797.0,Computer Science,Junior,15.0,154.0,150.0,157.5,165.0,146.0,464.0,8.0,118.0,,,,,,,,,,,,
56,B,856.0,Biology,Senior,15.0,123.0,149.0,170.0,191.0,148.0,465.0,13.0,176.0,B,846.0,1.0,143.0,234.0,15.0,105.0,185.71,130.0,213.0,188.0,607.0
57,C-,705.0,Mechanical Engineering,Sophomore,5.0,128.0,132.0,132.0,132.0,106.0,382.0,8.0,118.0,,,,,,,,,,,,
58,B+,882.0,Biology,Sophomore,10.0,168.0,118.0,159.0,200.0,164.0,496.0,13.0,176.0,B-,787.0,1.5,150.0,161.0,25.0,125.0,214.29,120.0,200.0,175.0,550.0
59,,,,,,,,,,,,,,C,715.0,2.0,163.0,166.0,25.0,91.0,165.71,105.0,181.0,165.0,497.0
60,B-,807.0,Non Degree - Aspirations,First Year,10.0,140.0,89.0,141.0,193.0,102.0,409.0,14.0,188.0,,,,,,,,,,,,
61,,,,,,,,,,,,,,C-,651.0,2.0,140.0,126.0,,118.0,204.29,70.0,138.0,157.0,501.0
62,C+,786.0,Engineering ,First Year,,141.0,125.0,152.0,179.0,126.0,433.0,11.0,153.0,C-,601.0,,115.0,126.0,,72.0,138.57,120.0,200.0,127.0,391.0
63,,,,,,,,,,,,,,,,1.0,142.0,,,,,,,142.0,142.0
64,B+,883.0,Non-Degree STC,Sophomore,,191.0,171.0,182.0,193.0,170.0,554.0,9.0,129.0,,,,,,,,,,,,
65,D,657.0,Undeclared,Senior,10.0,143.0,64.0,118.0,172.0,84.0,376.0,4.0,71.0,D,591.0,0.0,86.0,126.0,,85.0,157.14,100.0,175.0,123.0,406.0
66,,,,,,91.0,40.0,40.0,,,,,,,,,,,,,,,,,
67,B+,885.0,Mechanical Engineering,First Year,10.0,193.0,160.0,160.0,157.0,120.0,511.0,12.0,165.0,C,713.0,0.0,141.0,142.0,25.0,105.0,185.71,115.0,194.0,156.0,484.0
68,C,710.0,Engineering,Junior,13.0,111.0,105.0,135.0,165.0,122.0,380.0,8.0,118.0,C-,687.0,1.0,95.0,160.0,20.0,102.0,181.43,95.0,169.0,145.0,487.0
69,C,742.0,Electrical Engineering,Junior,15.0,133.0,97.0,137.0,177.0,112.0,397.0,9.0,129.0,C-,694.0,0.5,149.0,138.0,,107.0,188.57,110.0,188.0,159.0,496.0
70,,,,,,,,,,,,,,,,,40.0,,,,,,,40.0,40.0
71,,,,,,,,,,,,,,D,494.0,2.0,115.0,124.0,5.0,45.0,100.0,60.0,125.0,113.0,352.0
72,,,Engineering,Junior,,,,0.0,,,,,,,,,,,,,,,,,
73,C,734.0,Computer Science,Senior,,127.0,105.0,139.0,173.0,114.0,393.0,10.0,141.0,,,,,,,,,,,,
74,B,862.0,Computer Science,Senior,15.0,157.0,100.0,146.5,193.0,168.0,482.0,12.0,165.0,,,,,,,,,,,,
75,D,635.0,Mechanical Engineering,Sophomore,10.0,139.0,62.0,74.5,87.0,68.0,307.0,8.0,118.0,C-,646.0,0.5,101.0,100.0,10.0,143.0,240.0,70.0,138.0,147.0,488.0
76,,,,,,,,,,,,,,C+,746.0,0.5,110.0,158.0,20.0,116.0,201.43,120.0,200.0,156.0,516.0
77,F,592.0,Information Technology,First Year,,142.0,56.0,61.5,67.0,66.0,298.0,6.0,94.0,,,,,,,,,,,,
78,C,749.0,Biochemistry,Sophomore,,164.0,90.0,90.0,90.0,146.0,443.0,7.0,106.0,,,0.5,67.0,126.0,10.0,,,,,97.0,223.0
79,D,649.0,Computer Science,First Year,0.0,141.0,96.0,96.0,96.0,46.0,331.0,8.0,118.0,,,0.5,76.0,,,,,,,76.0,76.0
80,,,,,,,,,,,,,,B+,874.0,1.0,181.0,142.0,25.0,152.0,252.86,130.0,213.0,192.0,626.0
81,B-,814.0,,,15.0,156.0,131.0,162.0,193.0,138.0,470.0,9.0,129.0,,,,,,,,,,,,
82,C+,773.0,Engineering,Junior,5.0,179.0,125.0,125.0,125.0,100.0,439.0,9.0,129.0,B-,790.0,0.5,110.0,150.0,20.0,138.0,232.86,130.0,213.0,164.0,547.0
83,,,English Language Bridge - GO,Sophomore,,,10.0,10.0,,,,,,,,,,,,,,,,,
84,F,427.0,Undeclared,Junior,,97.0,42.0,42.0,42.0,20.0,192.0,1.0,35.0,,,,,,,,,,,,
85,C-,694.0,Undeclared,First Year,10.0,110.0,80.0,130.0,180.0,104.0,355.0,9.0,129.0,D,542.0,0.0,65.0,96.0,20.0,80.0,150.0,90.0,163.0,104.0,350.0
86,,,,,,,,,,,,,,C,730.0,,148.0,62.0,20.0,100.0,178.57,155.0,244.0,130.0,456.0
87,B,852.0,Chemistry,Sophomore,13.0,175.0,141.0,164.0,187.0,136.0,497.0,10.0,141.0,,,,,,,,,,,,
88,,,,,,,,,,,,,,A,966.0,0.5,116.0,228.0,25.0,172.0,281.43,130.0,213.0,208.0,718.0
89,,,,,,,,,,,,,,C,744.0,1.0,114.0,132.0,25.0,136.0,230.0,110.0,188.0,159.0,521.0
90,,,,,,,,,,,,,,B-,803.0,0.5,133.0,152.0,25.0,150.0,250.0,110.0,188.0,178.0,580.0
